full_fips,api_med_income,api_month_med_income
06011,27103,2258.58333333333
28029,21718,1809.83333333333
28049,24851,2070.91666666667
28145,24243,2020.25
28139,22388,1865.66666666667
28035,20502,1708.5
28071,23358,1946.5
28087,27971,2330.91666666667
28157,16143,1345.25
28065,20051,1670.91666666667
28123,21183,1765.25
28163,18923,1576.91666666667
28011,18718,1559.83333333333
28113,19574,1631.16666666667
28131,21066,1755.5
28069,17896,1491.33333333333
28133,18212,1517.66666666667
28001,19463,1621.91666666667
28033,32369,2697.41666666667
42045,35628,2969
42111,25627,2135.58333333333
29123,23587,1965.58333333333
29217,25009,2084.08333333333
29147,20924,1743.66666666667
29041,23881,1990.08333333333
29223,18236,1519.66666666667
29201,22709,1892.41666666667
29011,22363,1863.58333333333
29039,21190,1765.83333333333
29073,26785,2232.08333333333
29121,24657,2054.75
29149,20333,1694.41666666667
29186,28897,2408.08333333333
29067,19586,1632.16666666667
29083,24875,2072.91666666667
29109,23967,1997.25
29169,24121,2010.08333333333
29215,21045,1753.75
29027,28863,2405.25
29053,27894,2324.5
29075,25652,2137.66666666667
51191,25266,2105.5
51139,25036,2086.33333333333
51510,59419,4951.58333333333
51650,30458,2538.16666666667
51013,70148,5845.66666666667
51027,17764,1480.33333333333
51179,45929,3827.41666666667
51760,26454,2204.5
51057,26599,2216.58333333333
51185,22768,1897.33333333333
51685,36904,3075.33333333333
51183,23129,1927.41666666667
51683,37783,3148.58333333333
51775,29356,2446.33333333333
51037,21931,1827.58333333333
51081,20130,1677.5
53067,37076,3089.66666666667
53013,31349,2612.41666666667
72059,,
72121,,
72067,,
72141,,
72054,,
72099,,
72123,,
29133,14973,1247.75
29153,17707,1475.58333333333
29017,22355,1862.91666666667
47165,32203,2683.58333333333
47169,26749,2229.08333333333
47027,17133,1427.75
17139,31856,2654.66666666667
17149,27016,2251.33333333333
17151,21153,1762.75
17163,30310,2525.83333333333
17173,29644,2470.33333333333
17019,28603,2383.58333333333
17013,27843,2320.25
17053,30083,2506.91666666667
17089,33731,2810.91666666667
17093,40170,3347.5
17009,30690,2557.5
17121,26237,2186.41666666667
17125,26764,2230.33333333333
17075,26890,2240.83333333333
17025,26802,2233.5
17059,26342,2195.16666666667
17133,41254,3437.83333333333
17181,27669,2305.75
17201,28400,2366.66666666667
17153,21208,1767.33333333333
17169,29440,2453.33333333333
17045,27974,2331.16666666667
17007,30257,2521.41666666667
17011,29091,2424.25
17029,25029,2085.75
17033,26611,2217.58333333333
17155,32691,2724.25
17039,29287,2440.58333333333
17103,30779,2564.91666666667
17117,29329,2444.08333333333
17159,27334,2277.83333333333
