State,Name,RGDP_2012,Combined_Area
Arkansas,Union County,2542988,0
Arkansas,Van Buren County,642924,0
Arkansas,Washington County,10010084,0
Arkansas,White County,2231720,0
Arkansas,Woodruff County,232079,0
Arkansas,Yell County,537243,0
California,Alameda County,129708807,0
California,Alpine County,114254,0
California,Amador County,1786635,0
California,Butte County,9897121,0
California,Calaveras County,1589059,0
California,Colusa County,1514361,0
California,Contra Costa County,76522619,0
California,Del Norte County,842938,0
California,El Dorado County,7967457,0
California,Fresno County,46009312,0
California,Glenn County,1310042,0
California,Humboldt County,5974402,0
California,Imperial County,8980597,0
California,Inyo County,1261469,0
California,Kern County,51416782,0
California,Kings County,6609432,0
California,Lake County,2189985,0
California,Lassen County,1262036,0
California,Los Angeles County,726943301,0
California,Madera County,6740169,0
California,Marin County,23795829,0
California,Mariposa County,862546,0
California,Mendocino County,3856796,0
California,Merced County,10383485,0
California,Modoc County,460751,0
California,Mono County,1162497,0
California,Monterey County,27581259,0
California,Napa County,10283597,0
California,Nevada County,4428088,0
California,Orange County,233323465,0
California,Placer County,21531825,0
California,Plumas County,1245201,0
California,Riverside County,82105026,0
California,Sacramento County,88620397,0
California,San Benito County,2363094,0
California,San Bernardino County,89779198,0
California,San Diego County,222272562,0
California,San Francisco County,178505659,0
California,San Joaquin County,30486439,0
California,San Luis Obispo County,16660813,0
California,San Mateo County,121697163,0
California,Santa Barbara County,28411698,0
California,Santa Clara County,318100028,0
California,Santa Cruz County,14407444,0
California,Shasta County,8412829,0
California,Sierra County,112020,0
California,Siskiyou County,1933447,0
California,Solano County,22637944,0
California,Sonoma County,29064200,0
California,Stanislaus County,23715709,0
California,Sutter County,3762601,0
California,Tehama County,2276824,0
California,Trinity County,452982,0
California,Tulare County,19350581,0
California,Tuolumne County,2793179,0
California,Ventura County,48496595,0
California,Yolo County,14390599,0
California,Yuba County,3345409,0
Colorado,Adams County,26546174,0
Colorado,Alamosa County,743667,0
Colorado,Arapahoe County,45195128,0
Colorado,Archuleta County,513301,0
Colorado,Baca County,136902,0
Colorado,Bent County,161542,0
Colorado,Boulder County,27509931,0
Colorado,Broomfield County,6845862,0
Colorado,Chaffee County,771206,0
Colorado,Cheyenne County,188959,0
Colorado,Clear Creek County,536671,0
Colorado,Conejos County,254561,0
Colorado,Costilla County,101636,0
Colorado,Crowley County,154568,0
Colorado,Custer County,125966,0
Colorado,Delta County,853431,0
Colorado,Denver County,72850983,0
Colorado,Dolores County,147006,0
Colorado,Douglas County,17543547,0
Colorado,Eagle County,3600716,0
Colorado,Elbert County,604651,0
Colorado,El Paso County,33392451,0
Colorado,Fremont County,1397253,0
Colorado,Garfield County,4103095,0
Colorado,Gilpin County,518503,0
Colorado,Grand County,807296,0
Colorado,Gunnison County,1094683,0
Colorado,Hinsdale County,44766,0
Colorado,Huerfano County,292627,0
Colorado,Jackson County,128935,0
Colorado,Jefferson County,30704185,0
Colorado,Kiowa County,80388,0
Colorado,Kit Carson County,411638,0
Colorado,Lake County,331681,0
Colorado,La Plata County,3317742,0
Colorado,Larimer County,18267696,0
Colorado,Las Animas County,739862,0
Colorado,Lincoln County,362619,0
Colorado,Logan County,1142534,0
Colorado,Mesa County,6214937,0
Colorado,Mineral County,66191,0
Colorado,Moffat County,987687,0
Colorado,Montezuma County,1823637,0
Colorado,Montrose County,1500154,0
Colorado,Morgan County,1661295,0
Colorado,Otero County,645407,0
Colorado,Ouray County,224978,0
Colorado,Park County,454820,0
Colorado,Phillips County,208315,0
Colorado,Pitkin County,2030163,0
Colorado,Prowers County,632801,0
Colorado,Pueblo County,6268022,0
Colorado,Rio Blanco County,740595,0
Colorado,Rio Grande County,511851,0
Colorado,Routt County,1742862,0
Colorado,Saguache County,255110,0
Colorado,San Juan County,36973,0
Colorado,San Miguel County,607613,0
