full_fips,NAME,api_total_med_owner_cost,api_w_mort_med_owner_cost,api_w_o_mort_med_owner_cost,api_share_never_married,api_share_married,api_share_divorced,api_share_separated,api_share_widowed,api_share_other_than_married,api_share_less_hs,api_share_hs_or_equiv,api_share_some_col_or_assoc,api_share_bachelor,api_share_grad_or_prof
17051,"Fayette County, Illinois",591,977,410,0.293391053391053,0.512207792207792,0.119422799422799,0.0105627705627706,0.0644155844155844,0.487792207792208,0.147004702514823,0.40046343624344,0.335173447829346,0.0826688475431064,0.0346895658692837
17107,"Logan County, Illinois",760,1053,496,0.295538954108858,0.501344717182497,0.122433297758805,0.0110992529348986,0.0695837780149413,0.498655282817503,0.0978343949044586,0.364076433121019,0.33284076433121,0.144254777070064,0.0609936305732484
17165,"Saline County, Illinois",565,952,367,0.239819226801592,0.510635162352017,0.151004568453112,0.0220562951318957,0.0764847472613843,0.489364837647984,0.132662449683726,0.276595744680851,0.402587694077056,0.122484186313974,0.0656699252443933
17097,"Lake County, Illinois",1725,2191,911,0.314586664824938,0.54220833842465,0.08495856996885,0.0109919300426608,0.0472544967389014,0.457791661575351,0.0929734249081844,0.208534145775607,0.245140010593267,0.26544887873336,0.187903539989582
17127,"Massac County, Illinois",699,972,437,0.235090609555189,0.560461285008237,0.114085667215815,0.0132619439868204,0.0771004942339374,0.439538714991763,0.122903963414634,0.343464176829268,0.393578506097561,0.103563262195122,0.0364900914634146
17017,"Cass County, Illinois",669,961,430,0.280703487797648,0.51487007212726,0.11411915818595,0.0122517537792708,0.0780555281098706,0.48512992787274,0.162302429818353,0.430761972163246,0.261618306204293,0.103208303845247,0.0421089879688606
18069,"Huntington County, Indiana",763,967,389,0.258485287674003,0.547440088981765,0.125686743739256,0.010650847686137,0.0577370319188379,0.452559911018235,0.081041615964955,0.415186176685325,0.299099537600389,0.131905573132149,0.0727670966171818
18181,"White County, Indiana",761,956,390,0.23158545379623,0.560317296796127,0.12532193262594,0.0096837333882765,0.0730915833934274,0.439682703203873,0.110459137378259,0.419635835702619,0.311535902244268,0.105922206763051,0.0524469179118021
18075,"Jay County, Indiana",591,889,332,0.281696854146807,0.489752144899905,0.138465204957102,0.0153122020972355,0.0747735938989514,0.510247855100095,0.125883201153569,0.493078586878154,0.268421052631579,0.0720259552992069,0.040591204037491
18145,"Shelby County, Indiana",846,1117,411,0.244490188006038,0.533607794702896,0.131933580348566,0.0141896528063675,0.0757787841361328,0.466392205297105,0.125583942781662,0.424272689197461,0.267018911691743,0.125197332388286,0.0579271239408486
18153,"Sullivan County, Indiana",704,945,368,0.269606392423794,0.483930156851139,0.159218703758508,0.0141461970997337,0.0730985498668245,0.516069843148861,0.115885234429671,0.440447865640308,0.324492652204339,0.0766270118964311,0.0425472358292512
18157,"Tippecanoe County, Indiana",927,1148,403,0.42241047622262,0.414958317864255,0.10493097978332,0.01108373552938,0.0466164906004253,0.585041682135745,0.0843755052354278,0.254981026923699,0.274372557038108,0.212232165783793,0.174038745018973
18057,"Hamilton County, Indiana",1442,1684,569,0.260137220023959,0.60112615610492,0.0927344377084821,0.00930127499263884,0.0367009111700004,0.39887384389508,0.032195279001361,0.15173732554793,0.228913311772253,0.36773350113903,0.219420582539427
18005,"Bartholomew County, Indiana",850,1168,443,0.278905478775913,0.519727912142152,0.130892152023692,0.0104577986179664,0.0600166584402764,0.480272087857848,0.0938741299515324,0.303943004992529,0.271764877373274,0.193159870267119,0.137258117415546
18049,"Fulton County, Indiana",722,922,373,0.235325697924123,0.520937723693629,0.15736101169172,0.0106179909329516,0.0757575757575758,0.479062276306371,0.135131358300727,0.390930687534936,0.304779206260481,0.110187255449972,0.0589714924538849
18113,"Noble County, Indiana",776,997,372,0.244347269624573,0.543515358361775,0.138945179180887,0.0129052901023891,0.0602869027303754,0.456484641638225,0.162199159556857,0.420571756016809,0.280084044314275,0.0989749140455877,0.0381701260664714
18019,"Clark County, Indiana",926,1150,415,0.294411904384993,0.4782333386101,0.141269589995251,0.022911719698169,0.0631734473114875,0.5217666613899,0.106237695317367,0.34488000598101,0.335721583970892,0.144080045854412,0.0690806688763177
18063,"Hendricks County, Indiana",1234,1405,491,0.268464574328134,0.555221449602205,0.11323842636096,0.0107592557789889,0.0523162939297125,0.444778550397795,0.0543055974652987,0.2757242003621,0.298421469523235,0.249434218467109,0.122114514182257
18053,"Grant County, Indiana",666,917,347,0.315775227371156,0.461437130070738,0.138768586689765,0.0127580482171214,0.0712610076512199,0.538562869929262,0.126768749301442,0.404828434111993,0.288029507097351,0.106225550463843,0.0741477590253716
18071,"Jackson County, Indiana",810,1066,363,0.250893819874014,0.522983939617502,0.141024913455536,0.0131944838544918,0.0719028431984564,0.477016060382498,0.128127623845508,0.411654072208228,0.287724601175483,0.114626364399664,0.0578673383711167
18119,"Owen County, Indiana",726,1082,432,0.223063146340054,0.539776994627073,0.164769772950488,0.00843491825062106,0.0639551678317638,0.460223005372927,0.144736842105263,0.451820839978735,0.274853801169591,0.0816719829877725,0.046916533758639
18183,"Whitley County, Indiana",844,1067,390,0.226241057486291,0.580709590732469,0.114682064131895,0.0114028398155209,0.0669644478338236,0.419290409267531,0.082756864575818,0.394262190722743,0.315070237236345,0.144166702032848,0.0637440054322455
18023,"Clinton County, Indiana",758,981,371,0.27128844425339,0.53108757669311,0.113290867169487,0.0167259369260229,0.0676071749579898,0.46891242330689,0.141145515199925,0.436169712916412,0.263731616783348,0.107362683832167,0.0515904712681483
